"caint_num";"cxext_martin";"cxext_recocash";"cxext_datcre";"cxext_uticre";"cxext_datmaj";"cxext_utimaj";"cxext_recoauto";"cxext_consensus";"cxext_datcar"
"1071716";"ÕTÕ";"ÕFÕ";"2010-08-02T00:00:00";"ÕBEMÕ";"";"ÕÕ";"ÕÕ";"ÕFÕ";""
"977215";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2013-03-15T00:00:00";"ÕNGEÕ";"ÕFÕ";"ÕTÕ";""
"1076365";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2013-04-18T00:00:00";"ÕNGEÕ";"ÕFÕ";"ÕFÕ";""
"1015284";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2017-12-14T14:58:17";"ÕCHA/EPIÕ";"ÕFÕ";"ÕTÕ";""
"970505";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2013-03-08T00:00:00";"ÕNLAÕ";"ÕFÕ";"ÕFÕ";""
"1070209";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2017-12-14T14:58:17";"ÕCHA/EPIÕ";"ÕFÕ";"ÕTÕ";""
"1050663";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2014-05-06T14:14:41";"ÕREC/consensuÕ";"ÕFÕ";"ÕFÕ";""
"1002320";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2012-12-10T00:00:00";"ÕNGEÕ";"ÕFÕ";"ÕTÕ";""
"1128193";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2013-10-08T10:29:01";"ÕRECO/retourÕ";"ÕFÕ";"ÕFÕ";""
"993727";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2017-12-14T14:28:42";"ÕCHA/EPIÕ";"ÕFÕ";"ÕFÕ";"2012-08-13T00:00:00"
"1010632";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2014-01-29T00:00:00";"ÕNGEÕ";"ÕFÕ";"ÕTÕ";""
"1173274";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2017-12-14T14:28:42";"ÕCHA/EPIÕ";"ÕFÕ";"ÕFÕ";"2012-08-13T00:00:00"
"1125211";"ÕFÕ";"ÕFÕ";"2010-08-06T00:00:00";"ÕJTHÕ";"2017-09-14T00:00:00";"ÕNLAÕ";"ÕFÕ";"ÕFÕ";""
